data_name,mask_id,mask,pos_mask_ids
HG_BraTS20_Training_002,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_003,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_004,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_006,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_007,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_008,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_009,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_010,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_011,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_012,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_013,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_014,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_015,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_020,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_021,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_022,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_024,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_025,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_026,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_027,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_028,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_029,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_031,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_033,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_034,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_035,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_037,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_038,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_039,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_040,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_041,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_042,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_043,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_045,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_046,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_048,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_049,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_053,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_054,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_055,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_057,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_058,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_059,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_060,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_062,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_064,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_067,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
