data_name,mask_id,mask,pos_mask_ids
Center_01_Patient_02_slice_100,0,"[False, False, False, False, True]",[0]
Center_01_Patient_02_slice_101,16,"[False, True, False, True, True]","[0, 1, 3, 5, 7, 10, 16]"
Center_01_Patient_02_slice_102,25,"[False, True, True, True, True]","[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 15, 16, 18, 21, 25]"
Center_01_Patient_02_slice_103,18,"[False, True, True, False, True]","[0, 2, 3, 6, 7, 12, 18]"
Center_01_Patient_02_slice_104,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_105,27,"[True, True, False, True, True]","[0, 1, 3, 4, 5, 7, 8, 10, 11, 14, 16, 17, 20, 23, 27]"
Center_01_Patient_02_slice_106,9,"[False, False, True, True, False]","[1, 2]"
Center_01_Patient_02_slice_107,0,"[False, False, False, False, True]",[0]
Center_01_Patient_02_slice_108,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_109,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_110,18,"[False, True, True, False, True]","[0, 2, 3, 6, 7, 12, 18]"
Center_01_Patient_02_slice_111,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_112,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_113,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_114,25,"[False, True, True, True, True]","[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 15, 16, 18, 21, 25]"
Center_01_Patient_02_slice_115,7,"[False, True, False, False, True]","[0, 3]"
Center_01_Patient_02_slice_116,26,"[True, False, True, True, True]","[0, 1, 2, 4, 5, 6, 8, 9, 11, 13, 15, 17, 19, 22, 26]"
Center_01_Patient_02_slice_117,25,"[False, True, True, True, True]","[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 15, 16, 18, 21, 25]"
Center_01_Patient_02_slice_118,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_119,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_02_slice_120,11,"[True, False, False, True, False]","[1, 4]"
Center_01_Patient_02_slice_121,21,"[False, True, True, True, False]","[1, 2, 3, 9, 10, 12, 21]"
Center_01_Patient_02_slice_122,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_123,16,"[False, True, False, True, True]","[0, 1, 3, 5, 7, 10, 16]"
Center_01_Patient_02_slice_124,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_125,16,"[False, True, False, True, True]","[0, 1, 3, 5, 7, 10, 16]"
Center_01_Patient_02_slice_126,21,"[False, True, True, True, False]","[1, 2, 3, 9, 10, 12, 21]"
Center_01_Patient_02_slice_127,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_128,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_129,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_130,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_131,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_132,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_133,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_134,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_135,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_136,18,"[False, True, True, False, True]","[0, 2, 3, 6, 7, 12, 18]"
Center_01_Patient_02_slice_137,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_138,1,"[False, False, False, True, False]",[1]
Center_01_Patient_02_slice_139,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_140,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_142,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_02_slice_143,16,"[False, True, False, True, True]","[0, 1, 3, 5, 7, 10, 16]"
Center_01_Patient_02_slice_144,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_145,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_146,25,"[False, True, True, True, True]","[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 15, 16, 18, 21, 25]"
Center_01_Patient_02_slice_147,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_148,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_149,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_150,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_151,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_152,17,"[True, False, False, True, True]","[0, 1, 4, 5, 8, 11, 17]"
Center_01_Patient_02_slice_153,16,"[False, True, False, True, True]","[0, 1, 3, 5, 7, 10, 16]"
Center_01_Patient_02_slice_154,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_02_slice_155,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_156,0,"[False, False, False, False, True]",[0]
Center_01_Patient_02_slice_157,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_158,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_159,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_160,18,"[False, True, True, False, True]","[0, 2, 3, 6, 7, 12, 18]"
Center_01_Patient_02_slice_161,25,"[False, True, True, True, True]","[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 15, 16, 18, 21, 25]"
Center_01_Patient_02_slice_162,9,"[False, False, True, True, False]","[1, 2]"
Center_01_Patient_02_slice_163,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_02_slice_164,22,"[True, False, True, True, False]","[1, 2, 4, 9, 11, 13, 22]"
Center_01_Patient_02_slice_165,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_166,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_167,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_168,16,"[False, True, False, True, True]","[0, 1, 3, 5, 7, 10, 16]"
Center_01_Patient_02_slice_169,16,"[False, True, False, True, True]","[0, 1, 3, 5, 7, 10, 16]"
Center_01_Patient_02_slice_170,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_02_slice_171,0,"[False, False, False, False, True]",[0]
Center_01_Patient_02_slice_172,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_173,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_174,18,"[False, True, True, False, True]","[0, 2, 3, 6, 7, 12, 18]"
Center_01_Patient_02_slice_175,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_176,0,"[False, False, False, False, True]",[0]
Center_01_Patient_02_slice_177,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_178,0,"[False, False, False, False, True]",[0]
Center_01_Patient_02_slice_179,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_02_slice_180,18,"[False, True, True, False, True]","[0, 2, 3, 6, 7, 12, 18]"
Center_01_Patient_02_slice_181,7,"[False, True, False, False, True]","[0, 3]"
Center_01_Patient_02_slice_182,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_183,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_184,8,"[True, False, False, False, True]","[0, 4]"
Center_01_Patient_02_slice_185,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_75,0,"[False, False, False, False, True]",[0]
Center_01_Patient_02_slice_76,16,"[False, True, False, True, True]","[0, 1, 3, 5, 7, 10, 16]"
Center_01_Patient_02_slice_77,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_78,26,"[True, False, True, True, True]","[0, 1, 2, 4, 5, 6, 8, 9, 11, 13, 15, 17, 19, 22, 26]"
Center_01_Patient_02_slice_79,1,"[False, False, False, True, False]",[1]
Center_01_Patient_02_slice_80,25,"[False, True, True, True, True]","[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 15, 16, 18, 21, 25]"
Center_01_Patient_02_slice_81,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_02_slice_82,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_83,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_84,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_02_slice_85,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_86,7,"[False, True, False, False, True]","[0, 3]"
Center_01_Patient_02_slice_87,25,"[False, True, True, True, True]","[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 15, 16, 18, 21, 25]"
Center_01_Patient_02_slice_88,26,"[True, False, True, True, True]","[0, 1, 2, 4, 5, 6, 8, 9, 11, 13, 15, 17, 19, 22, 26]"
Center_01_Patient_02_slice_89,7,"[False, True, False, False, True]","[0, 3]"
Center_01_Patient_02_slice_90,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_91,18,"[False, True, True, False, True]","[0, 2, 3, 6, 7, 12, 18]"
Center_01_Patient_02_slice_92,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_02_slice_94,25,"[False, True, True, True, True]","[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 15, 16, 18, 21, 25]"
Center_01_Patient_02_slice_95,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_02_slice_96,8,"[True, False, False, False, True]","[0, 4]"
Center_01_Patient_02_slice_97,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_98,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_02_slice_99,0,"[False, False, False, False, True]",[0]
Center_01_Patient_03_slice_100,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_101,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_03_slice_102,7,"[False, True, False, False, True]","[0, 3]"
Center_01_Patient_03_slice_103,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_03_slice_104,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_105,28,"[True, True, True, False, True]","[0, 2, 3, 4, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 28]"
Center_01_Patient_03_slice_106,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_03_slice_107,2,"[False, False, True, False, False]",[2]
Center_01_Patient_03_slice_108,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_109,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_03_slice_110,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_111,0,"[False, False, False, False, True]",[0]
Center_01_Patient_03_slice_112,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_113,0,"[False, False, False, False, True]",[0]
Center_01_Patient_03_slice_114,26,"[True, False, True, True, True]","[0, 1, 2, 4, 5, 6, 8, 9, 11, 13, 15, 17, 19, 22, 26]"
Center_01_Patient_03_slice_115,17,"[True, False, False, True, True]","[0, 1, 4, 5, 8, 11, 17]"
Center_01_Patient_03_slice_116,26,"[True, False, True, True, True]","[0, 1, 2, 4, 5, 6, 8, 9, 11, 13, 15, 17, 19, 22, 26]"
Center_01_Patient_03_slice_117,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_118,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_03_slice_119,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_03_slice_120,19,"[True, False, True, False, True]","[0, 2, 4, 6, 8, 13, 19]"
Center_01_Patient_03_slice_121,7,"[False, True, False, False, True]","[0, 3]"
Center_01_Patient_03_slice_122,1,"[False, False, False, True, False]",[1]
Center_01_Patient_03_slice_123,18,"[False, True, True, False, True]","[0, 2, 3, 6, 7, 12, 18]"
Center_01_Patient_03_slice_124,16,"[False, True, False, True, True]","[0, 1, 3, 5, 7, 10, 16]"
Center_01_Patient_03_slice_125,16,"[False, True, False, True, True]","[0, 1, 3, 5, 7, 10, 16]"
Center_01_Patient_03_slice_127,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_128,0,"[False, False, False, False, True]",[0]
Center_01_Patient_03_slice_129,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_03_slice_130,0,"[False, False, False, False, True]",[0]
Center_01_Patient_03_slice_131,0,"[False, False, False, False, True]",[0]
Center_01_Patient_03_slice_132,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_03_slice_133,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_03_slice_134,25,"[False, True, True, True, True]","[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 15, 16, 18, 21, 25]"
Center_01_Patient_03_slice_135,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_136,27,"[True, True, False, True, True]","[0, 1, 3, 4, 5, 7, 8, 10, 11, 14, 16, 17, 20, 23, 27]"
Center_01_Patient_03_slice_137,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_03_slice_138,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_03_slice_139,0,"[False, False, False, False, True]",[0]
Center_01_Patient_03_slice_140,19,"[True, False, True, False, True]","[0, 2, 4, 6, 8, 13, 19]"
Center_01_Patient_03_slice_141,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_142,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_143,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_03_slice_144,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_03_slice_145,18,"[False, True, True, False, True]","[0, 2, 3, 6, 7, 12, 18]"
Center_01_Patient_03_slice_146,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_03_slice_147,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_148,26,"[True, False, True, True, True]","[0, 1, 2, 4, 5, 6, 8, 9, 11, 13, 15, 17, 19, 22, 26]"
Center_01_Patient_03_slice_149,16,"[False, True, False, True, True]","[0, 1, 3, 5, 7, 10, 16]"
Center_01_Patient_03_slice_150,25,"[False, True, True, True, True]","[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 15, 16, 18, 21, 25]"
Center_01_Patient_03_slice_151,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_03_slice_152,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_03_slice_153,19,"[True, False, True, False, True]","[0, 2, 4, 6, 8, 13, 19]"
Center_01_Patient_03_slice_154,25,"[False, True, True, True, True]","[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 15, 16, 18, 21, 25]"
Center_01_Patient_03_slice_155,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_03_slice_156,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_157,9,"[False, False, True, True, False]","[1, 2]"
Center_01_Patient_03_slice_158,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
Center_01_Patient_03_slice_159,27,"[True, True, False, True, True]","[0, 1, 3, 4, 5, 7, 8, 10, 11, 14, 16, 17, 20, 23, 27]"
Center_01_Patient_03_slice_160,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_03_slice_161,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_162,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_163,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_03_slice_164,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_165,0,"[False, False, False, False, True]",[0]
Center_01_Patient_03_slice_166,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_03_slice_167,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_03_slice_168,6,"[False, False, True, False, True]","[0, 2]"
Center_01_Patient_03_slice_169,5,"[False, False, False, True, True]","[0, 1]"
Center_01_Patient_03_slice_170,8,"[True, False, False, False, True]","[0, 4]"
Center_01_Patient_03_slice_171,2,"[False, False, True, False, False]",[2]
Center_01_Patient_03_slice_172,15,"[False, False, True, True, True]","[0, 1, 2, 5, 6, 9, 15]"
